City,Country,Latitude,Longitude,PopGrowth_2000
Xiantao,China,30.3667,113.45,1371000
Xiaogan,China,30.9167,113.9,1302000
Xinghua,China,32.93,119.83,1497000
Xingtai,China,37.0631,114.494,1306000
Yangcheng,China,34.455278,113.025278,1367000
Yangon,Myanmar,16.80528,96.15611,2513000
Yekaterinburg,Russian Federation,56.833333,60.6,1267000
Yerevan,Aremenia,40.1833,44.5167,1249000
Yixing,China,31.03,119.3,1075000
Yokohama,Japan,35.443708,139.638026,3427000
Yulin,China,22.6333,110.15,1323000
Yuzhou,China,34.1634,113.4608,1073000
Zaozhuang,China,34.8667,117.55,1793000
Zhanjiang,China,21.2,110.4,1399000
Zhongshan,China,22.517646,113.392782,1237000
Zhucheng,China,36.01,119.4167,1039000
Zibo,China,36.79056,118.06333,2484000
